doc_date,outgoing,incoming,diff
2014-05-01,-1999216.45,1574866.33,-424350.1199999999
2014-06-01,-1198804.96,1637643.6300000001,438838.67000000016
2014-07-01,-1481791.4,1534630.3800000001,52838.980000000214
2014-08-01,-1672489.75,1607570.61,-64919.1399999999
2014-09-01,-2680966.53,2169622.86,-511343.6699999999
2014-10-01,-1356952.9,1526337.2,169384.30000000005
2014-11-01,-1136803.22,1397530.99,260727.77000000002
2014-12-01,-801908.3200000001,1565783.57,763875.25
2015-01-01,-1637912.57,1493156.9,-144755.67000000016
2015-02-01,-1090663.54,1084212.07,-6451.469999999972
2015-03-01,-2033529.92,2185375.56,151845.64000000013
2015-04-01,-2081843.56,1768178.0,-313665.56000000006
2015-05-01,-2444241.93,2181453.4,-262788.53000000026
2015-06-01,-2122612.98,2152466.21,29853.22999999998
2015-07-01,-2513792.33,2515380.16,1587.8300000000745
2015-08-01,-2456839.92,2227355.62,-229484.2999999998
2015-09-01,-2663056.26,3192232.03,529175.77
2015-10-01,-2811554.64,2271496.33,-540058.31
2015-11-01,-2485340.4,2281345.7199999997,-203994.68000000017
2015-12-01,-2208900.3,2368014.84,159114.54000000004
2016-01-01,-2290773.95,2207878.94,-82895.01000000024
2016-02-01,-2231015.77,2017597.34,-213418.42999999993
2016-03-01,-2641858.88,2398017.59,-243841.29000000004
2016-04-01,-2787334.25,2571521.71,-215812.54000000004
2016-05-01,-3286471.16,3031795.43,-254675.72999999998
2016-06-01,-3459234.38,2338636.72,-1120597.6599999997
2016-07-01,-2433031.83,2785289.94,352258.10999999987
2016-08-01,-3743638.0,2851159.64,-892478.3599999999
2016-09-01,-2896781.89,2972941.97,76160.08000000007
2016-10-01,-3872255.66,2949128.56,-923127.1000000001
2016-11-01,-3977184.2600000002,3048016.3,-929167.9600000004
2016-12-01,-3145437.16,2595607.6,-549829.56
2017-01-01,-3166132.5,2833305.4,-332827.1000000001
2017-02-01,-2972189.49,2744462.05,-227727.4400000004
2017-03-01,-4270002.67,3720083.56,-549919.1099999999
2017-04-01,-3084697.82,3420369.97,335672.1500000004
2017-05-01,-3227725.43,2814453.93,-413271.5
2017-06-01,-2623616.81,2177509.95,-446106.85999999987
2017-07-01,-4617251.57,3139916.99,-1477334.58
2017-08-01,-3530010.65,3220838.34,-309172.31000000006
2017-09-01,-3373817.48,2632188.9,-741628.5800000001
2017-10-01,-4329290.6,3466856.79,-862433.8099999996
2017-11-01,-3490721.23,2677229.49,-813491.7399999998
2017-12-01,-3665853.39,3006169.75,-659683.6400000001
2018-01-01,-4478341.92,3231894.65,-1246447.27
2018-02-01,-2879913.02,2380501.91,-499411.10999999987
2018-03-01,-4548432.73,3410387.22,-1138045.5100000002
2018-04-01,-2842398.2,2603258.36,-239139.84000000032
2018-05-01,-3492119.06,3230303.65,-261815.41000000015
2018-06-01,-2590314.27,2501825.85,-88488.41999999993
2018-07-01,-3480315.04,2831004.95,-649310.0899999999
2018-08-01,-4135111.23,2624377.85,-1510733.38
2018-09-01,-2879923.6,2560932.22,-318991.3799999999
2018-10-01,-3023445.75,3061239.18,37793.43000000017
2018-11-01,-4304151.45,2661325.05,-1642826.4000000004
2018-12-01,-3825409.1,2378206.44,-1447202.6600000001
2019-01-01,-4059801.4,3103437.48,-956363.9199999999
2019-02-01,-2806629.86,2158600.19,-648029.6699999999
2019-03-01,-2692034.17,3787786.19,1095752.02
2019-04-01,-2687729.47,2611615.73,-76113.74000000022
2019-05-01,-3870165.4,3530852.55,-339312.8500000001
2019-06-01,-2363285.71,2342019.18,-21266.529999999795
2019-07-01,-2574621.18,2510681.0,-63940.18000000017
2019-08-01,-3657335.3,2634152.56,-1023182.7399999998
2019-09-01,-3683762.28,2787784.44,-895977.8399999999
2019-10-01,-2848171.4899999998,2774042.59,-74128.8999999999
2019-11-01,-3489284.25,2669479.83,-819804.4199999999
2019-12-01,-3256989.67,2451455.49,-805534.1799999997
2020-01-01,-2767672.31,2580372.03,-187300.28000000026
2020-02-01,-3289088.32,2631848.78,-657239.54
2020-03-01,-2873958.89,2690331.15,-183627.74000000022
2020-04-01,-2575538.82,2414049.17,-161489.6499999999
2020-05-01,-2673055.94,2496349.64,-176706.2999999998
2020-06-01,-3058599.45,2647156.74,-411442.70999999996
2020-07-01,-2450897.7399999998,2779455.08,328557.3400000003
2020-08-01,-4593267.15,3251408.87,-1341858.2800000003
2020-09-01,-3110807.64,2645414.34,-465393.3000000003
2020-10-01,-2661392.95,2712159.65,50766.69999999972
2020-11-01,-3494090.44,2927014.5,-567075.94
2020-12-01,-3420986.75,2711418.95,-709567.7999999998
2021-01-01,-2757459.1,2943091.81,185632.70999999996
2021-02-01,-3780369.75,2737904.75,-1042465.0
2021-03-01,-4653915.14,3422290.31,-1231624.8299999996
2021-04-01,-4557764.36,3041040.77,-1516723.5900000003
2021-05-01,-3264388.95,3139286.95,-125102.0
2021-06-01,-3802544.23,2715879.98,-1086664.25
2021-07-01,-3097971.44,2445597.71,-652373.73
2021-08-01,-3462723.34,2861691.61,-601031.73
2021-09-01,-3244897.5300000003,2801607.61,-443289.9200000004
2021-10-01,-3104210.0,2694611.18,-409598.81999999983
2021-11-01,-3188721.69,2862513.56,-326208.1299999999
2021-12-01,-4994623.84,3100612.79,-1894011.0499999998
2022-01-01,-3998883.7199999997,3052754.77,-946128.9499999997
2022-02-01,-2598999.0100000002,3277083.23,678084.2199999997
2022-03-01,-3885673.87,3199101.36,-686572.5100000002
2022-04-01,-4390997.2,3058337.07,-1332660.1300000004
2022-05-01,-3031604.48,3298346.28,266741.7999999998
2022-06-01,-3698460.7,3297598.76,-400861.9400000004
2022-07-01,-4207063.84,3159719.62,-1047344.2199999997
2022-08-01,-3787424.17,3239227.95,-548196.2199999997
2022-09-01,-3931475.45,3476184.31,-455291.14000000013
2022-10-01,-4836463.38,3926497.4,-909965.98
2022-11-01,-3944932.98,3350206.33,-594726.6499999999
2022-12-01,-4289084.74,3192075.17,-1097009.5700000003
2023-01-01,-4145237.73,3186908.22,-958329.5099999998
2023-02-01,-4613616.52,3942225.4899999998,-671391.0299999998
2023-03-01,-4269726.28,3527851.16,-741875.1200000001
2023-04-01,-3806931.66,3681221.53,-125710.13000000035
2023-05-01,-4885102.07,4083136.56,-801965.5100000002
2023-06-01,-5197426.89,3920647.99,-1276778.8999999994
2023-07-01,-1962265.41,3640602.41,1678337.0000000002
2023-08-01,-850812.03,1831559.09,980747.06
